X,Y,Z,azimuth,dip,polarity,formation
739426.627684,6891935.451484,75.422691,220.000000,70.000000,1,SimpleBIF
717311.112372,6891940.971393,-1497.488309,90.000000,60.000000,1,SimpleBIF
723415.321182,6891939.447817,-5298.154309,10.000000,20.000000,1,SimpleMafic
742907.686575,6891934.582632,-2786.869309,250.000000,60.000000,1,SimpleMafic
712584.536312,6891942.151120,-582.769334,90.014000,60.000000,1,SimpleMafic
724309.279198,6905712.031145,-3763.862995,90.000000,50.000000,1,SimpleMafic
728653.933257,6905714.891064,-4196.807995,269.962000,9.090000,1,SimpleMafic
732788.182361,6905717.612482,-1680.306995,269.962000,60.000000,1,SimpleMafic
727261.874621,6877214.496202,-5666.992176,360.000000,20.000000,1,SimpleMafic
718902.531298,6900478.748653,-1882.895297,83.123000,20.726000,1,SimpleMafic
733335.732778,6903150.931884,-1538.629297,255.407000,51.633000,1,SimpleMafic
730820.452963,6902599.428688,-3825.776297,258.709000,21.801000,1,SimpleMafic
725461.656000,6915002.000000,510.686328,103.095000,60.000000,1,SimpleMafic
726102.312000,6917775.500000,499.040304,0.000000,-60.000000,1,SimpleMafic
727390.156000,6913486.750000,517.569243,71.561000,-60.000000,1,SimpleMafic
743403.687500,6877878.250000,454.749952,169.802194,80.000000,1,EarlyGranite
738704.406500,6877046.000000,458.148740,170.056246,80.000000,1,EarlyGranite
735326.781500,6875283.750000,452.966456,114.812185,80.000000,1,EarlyGranite
734151.969000,6874304.750000,448.179887,206.518042,80.000000,1,EarlyGranite
734200.938000,6875724.500000,461.985804,299.406115,80.000000,1,EarlyGranite
735082.063000,6879102.250000,480.551436,276.153239,80.000000,1,EarlyGranite
734592.563000,6882039.250000,487.287083,223.053093,80.000000,1,EarlyGranite
732683.469000,6882332.750000,481.711952,161.600709,80.000000,1,EarlyGranite
730627.531500,6880472.500000,477.402658,120.986348,80.000000,1,EarlyGranite
728767.406500,6878759.250000,470.031623,165.980598,80.000000,1,EarlyGranite
728571.594000,6879934.250000,472.536776,298.870347,80.000000,1,EarlyGranite
729256.906500,6882724.500000,471.722924,265.872737,80.000000,1,EarlyGranite
727739.437500,6884242.000000,474.258726,185.941204,80.000000,1,EarlyGranite
724802.406500,6883312.000000,473.707869,144.627207,80.000000,1,EarlyGranite
722403.813000,6880913.250000,470.707065,123.702047,80.000000,1,EarlyGranite
721229.000500,6880766.250000,477.680894,255.876557,80.000000,1,EarlyGranite
720690.563000,6882822.250000,489.909423,254.444427,80.000000,1,EarlyGranite
718928.344000,6883605.500000,509.462245,176.274084,80.000000,1,EarlyGranite
715991.281500,6882773.250000,505.165864,152.654159,80.000000,1,EarlyGranite
712907.375500,6880766.250000,512.582136,142.596411,80.000000,1,EarlyGranite
710459.844000,6880521.500000,511.839758,232.658556,80.000000,1,EarlyGranite
709970.344000,6882724.500000,532.967915,283.997896,80.000000,1,EarlyGranite
709089.250500,6883312.000000,519.457428,153.495937,80.000000,1,EarlyGranite
705858.500500,6880032.250000,494.307044,127.403250,80.000000,1,EarlyGranite
701844.531500,6875137.250000,476.658525,131.656118,80.000000,1,EarlyGranite
698466.937500,6871074.250000,463.972201,127.377257,80.000000,1,EarlyGranite
