X,Y,Z,formation
735484.817806,6891936.435338,-1819.319309,SimpleMafic2
729854.915982,6891937.840530,-1432.263309,SimpleMafic2
724084.267161,6891939.280852,-4739.830309,SimpleMafic2
733521.625000,6895282.500000,521.555240,SimpleMafic2
721933.375000,6884591.500000,496.669295,SimpleMafic2
724251.000000,6886909.000000,484.550926,SimpleMafic2
727316.313000,6886460.500000,478.254423,SimpleMafic2
729858.250000,6887133.500000,484.259574,SimpleMafic2
732699.250000,6885040.000000,494.526481,SimpleMafic2
716849.500000,6887358.000000,508.981894,SimpleMafic2
719017.625000,6892217.500000,508.179387,SimpleMafic2
739179.440691,6891935.513181,-552.591309,SimpleBIF
735564.599804,6891936.415425,-2652.196309,SimpleBIF
730009.009977,6891937.802069,-2088.409309,SimpleBIF
718795.791326,6891940.600826,-2773.169309,SimpleBIF
724143.386160,6891939.266096,-5569.907309,SimpleBIF
723877.188000,6899768.500000,529.152169,SimpleBIF
732998.313000,6898049.000000,521.619609,SimpleBIF
743689.438000,6891769.000000,512.811278,SimpleBIF
712961.813000,6882722.500000,547.826016,SimpleBIF
716284.875000,6891346.500000,515.586860,SimpleBIF
718942.875000,6897600.500000,538.490136,SimpleBIF
722157.625000,6882947.000000,481.747055,SimpleBIF
723952.000000,6885488.500000,480.122832,SimpleBIF
728736.813000,6885488.500000,477.929009,SimpleBIF
738829.813000,6878087.000000,470.081431,SimpleBIF
715522.708428,6891941.417769,-2810.185309,SimpleMafic
722100.017223,6891939.776110,-5640.110309,SimpleMafic
728133.723035,6891938.270130,-8458.173309,SimpleMafic
733022.378883,6891937.049949,-7358.592309,SimpleMafic
737972.021729,6891935.814546,-5589.549309,SimpleMafic
726443.009736,6905713.435698,-5023.656995,SimpleMafic
727109.335202,6886862.614432,-6720.406176,SimpleMafic
726266.236469,6901753.815655,-5708.065297,SimpleMafic
732617.810926,6902964.017319,-3068.116297,SimpleMafic
709728.250000,6885850.500000,532.936577,SimpleMafic
714271.063000,6897386.000000,536.831254,SimpleMafic
722693.188000,6907492.500000,555.452867,SimpleMafic
725092.188000,6913005.000000,514.864987,SimpleMafic
744692.688000,6890291.000000,496.019711,SimpleMafic
738924.813000,6900193.500000,551.633725,SimpleMafic
729430.813000,6908717.500000,517.178069,SimpleMafic
726929.750000,6916017.000000,502.161614,SimpleMafic
745312.750000,6878221.000000,452.733051,EarlyGranite
741494.625000,6877535.500000,460.202350,EarlyGranite
735914.188000,6876556.500000,456.482389,EarlyGranite
734739.375000,6874011.000000,446.031913,EarlyGranite
733564.563000,6874598.500000,452.620638,EarlyGranite
734837.313000,6876850.500000,469.895650,EarlyGranite
735326.813000,6881354.000000,492.347775,EarlyGranite
733858.313000,6882724.500000,486.360734,EarlyGranite
731508.625000,6881941.000000,476.162317,EarlyGranite
729746.438000,6879004.000000,468.440123,EarlyGranite
727788.375000,6878514.500000,465.162276,EarlyGranite
729354.813000,6881354.000000,469.466421,EarlyGranite
729159.000000,6884095.000000,480.639992,EarlyGranite
726319.875000,6884389.000000,472.411447,EarlyGranite
723284.938000,6882235.000000,475.413461,EarlyGranite
721522.688000,6879591.500000,471.253042,EarlyGranite
720935.313000,6881941.000000,492.156175,EarlyGranite
720445.813000,6883703.500000,498.308040,EarlyGranite
717410.875000,6883507.500000,507.584619,EarlyGranite
714571.688000,6882039.000000,506.534612,EarlyGranite
711243.063000,6879493.500000,505.437117,EarlyGranite
709676.625000,6881549.500000,515.202397,EarlyGranite
710264.063000,6883899.500000,524.055665,EarlyGranite
707914.438000,6882724.500000,507.245636,EarlyGranite
703802.563000,6877340.000000,483.052807,EarlyGranite
699886.500000,6872934.500000,470.146586,EarlyGranite
697047.375000,6869214.000000,456.299059,EarlyGranite
